"E_km","N_km","group"
794.60364422,6933.25284956,1
794.88140904,6933.85602215,1
794.94934498,6934.01835304,1
795.10117272,6934.42031203,1
795.23930444,6934.68483607,1
795.3662509,6934.86986468,1
795.44889418,6934.99859259,1
795.49857083,6935.08144114,1
795.67333102,6935.32601738,1
795.671530422821,6935.32730398375,1
795.74871274,6935.43082576,1
795.85046592,6935.58592898,1
795.8819061,6935.63161066,1
795.98633989,6935.77636535,1
796.059306828274,6935.88513620108,1
796.10085235,6935.94163066,1
796.35080097,6936.36236511,1
796.39484763,6936.45640873,1
796.448345841941,6936.59077198549,1
796.556074885366,6936.80983277342,1
796.85805953,6937.23142027,1
796.86286385,6937.23997575,1
796.90237276,6937.28094749,1
797.14785525,6937.5783697,1
797.54291497,6938.14024119,1
797.58864215,6938.20758025,1
797.85393711,6938.61228364,1
798.04646602,6938.96485351,1
798.21038253,6939.33250621,1
798.32854949,6939.54099884,1
798.67041929,6940.02820994,1
798.70630989,6940.07681625,1
798.96772712,6940.41350532,1
799.04032024,6940.51187497,1
799.24647726,6940.80602601,1
799.32906397,6940.93174798,1
799.57814844,6941.33699446,1
799.62393599,6941.40622421,1
800.00380475,6941.94108366,1
800.1208781,6942.08259157,1
800.52870329,6942.50756233,1
800.5814307,6942.56423733,1
800.9921843,6943.01968319,1
801.1076214,6943.15731679,1
801.33336478,6943.44699871,1
801.45500654,6943.61735042,1
801.77941086,6944.11441975,1
801.81035574,6944.15963758,1
802.20389519,6944.70848039,1
802.34595577,6944.93043806,1
802.63128624,6945.43272167,1
802.78989603,6945.65232677,1
803.15697793,6946.05889879,1
803.17551075,6946.07897963,1
803.70895099,6946.64444847,1
803.80248426,6946.73383408,1
804.04998942,6946.94696755,1
804.11152295,6947.00174713,1
804.60782637,6947.45845475,1
804.62017798,6947.469898,1
805.0025281,6947.82652924,1
805.0555525,6947.87325428,1
805.50417181,6948.24658156,1
805.57185296,6948.29908441,1
805.80652122,6948.4685692,1
806.00052958,6948.56144976,1
806.65228062,6949.01284269,1
807.1299246,6949.64560743,1
807.38542698,6950.3961096,1
807.39309302,6951.18887452,1
807.15215176,6951.94417731,1
806.68683361,6952.58606048,1
806.28034017,6952.99166523,1
806.17638625,6953.13957675,1
806.12889551,6953.21240999,1
806.06617564,6953.31633042,1
806.01998581,6953.39992611,1
805.96416595,6953.51075669,1
805.953779651923,6953.50552562783,1
805.929104520618,6953.5708321723,1
805.92232677,6953.60136539,1
805.925678896959,6953.63970494076,1
806.05932853,6953.95928788,1
806.25003421,6954.80429743,1
806.14091931,6955.66365983,1
806.10905256,6955.76652072,1
805.93091713,6956.19562532,1
805.83445141,6956.3779968,1
805.81089285,6956.42489138,1
805.80302219,6956.44141426,1
805.716492043365,6956.76365323217,1
805.781119463694,6957.3217949173,1
805.85473756,6957.56443681,1
805.87880574,6957.85354087,1
805.88712371,6958.02218006,1
805.88937266,6958.16717878,1
805.893394750274,6958.21294148972,1
805.94803274,6958.36660862,1
806.009773931421,6958.43913878367,1
806.07171153,6958.46733402,1
806.192505186181,6958.48239947048,1
806.33796593,6958.45335126,1
806.51276196,6958.34943436,1
806.51325587,6958.34901326,1
807.13420518,6957.96058677,1
807.84107613,6957.76878834,1
808.57319621,6957.79008051,1
809.26772573,6958.02263572,1
809.86505147,6958.44649316,1
810.31390347,6959.0252721,1
810.39260296,6959.16510781,1
810.56103071,6959.53033875,1
810.61425511,6959.67544237,1
810.76283944,6960.38931707,1
810.69911421,6961.1157009,1
810.515812955057,6961.57433654604,1
810.52748257,6961.57919464,1
810.49511631,6961.65694154,1
810.45549502,6961.79703153,1
810.454539772904,6961.82220791576,1
810.481439871363,6961.92641623591,1
810.63623539,6961.97227333,1
811.19298195,6962.21405604,1
811.56526203,6962.4328815,1
811.726483361604,6962.46195436349,1
811.98540536,6962.43072406,1
812.09781195,6962.40261613,1
812.104425571438,6962.4290647021,1
812.53269211,6962.32658104,1
813.3151877,6962.38965821,1
814.03954308,6962.69229227,1
814.63433353,6963.20464214,1
815.04091007,6963.87618782,1
815.21918241,6964.64071189,1
815.165322335038,6965.26376594132,1
815.16884772,6965.26416421,1
815.15814733,6965.35888166,1
815.157110160031,6965.35876448916,1
815.1515721,6965.42282884,1
815.129641461191,6965.51095904995,1
815.12018768,6965.62522442,1
815.10986071,6965.67367541,1
814.93010852,6966.21002355,1
814.92379041,6966.22355792,1
814.596368,6966.74546889,1
814.188933792338,6967.13538646247,1
814.12994585,6967.21425628,1
814.052111010999,6967.31291240446,1
813.988411442648,6967.39985586692,1
813.92772469,6967.51008302,1
